Training progress:  19%|█▉        | 57/300 [06:40<28:18,  6.99s/it]Loss at epoch 57: 0.999919
Training progress:  19%|█▉        | 58/300 [06:47<28:08,  6.98s/it]Loss at epoch 58: 1.000285
Training progress:  20%|█▉        | 59/300 [06:54<28:07,  7.00s/it]Loss at epoch 59: 1.000020
Training progress:  20%|██        | 60/300 [07:01<28:07,  7.03s/it]Loss at epoch 60: 1.000563
Training progress:  20%|██        | 61/300 [07:08<27:51,  6.99s/it]Loss at epoch 61: 0.999768
Training progress:  21%|██        | 62/300 [07:15<27:40,  6.98s/it]Loss at epoch 62: 1.000046
Training progress:  21%|██        | 63/300 [07:22<27:27,  6.95s/it]Loss at epoch 63: 1.000082
Training progress:  21%|██▏       | 64/300 [07:29<27:18,  6.94s/it]Loss at epoch 64: 0.999815
Training progress:  22%|██▏       | 65/300 [07:36<27:07,  6.92s/it]Loss at epoch 65: 1.000016
Training progress:  22%|██▏       | 66/300 [07:43<27:02,  6.94s/it]Loss at epoch 66: 1.000338
Training progress:  22%|██▏       | 67/300 [07:50<26:58,  6.95s/it]Loss at epoch 67: 1.000048
Training progress:  23%|██▎       | 68/300 [07:56<26:49,  6.94s/it]Loss at epoch 68: 1.000580
Training progress:  23%|██▎       | 69/300 [08:03<26:46,  6.96s/it]Loss at epoch 69: 0.999914
Training progress:  23%|██▎       | 70/300 [08:10<26:40,  6.96s/it]Loss at epoch 70: 0.999982
Training progress:  24%|██▎       | 71/300 [08:17<26:37,  6.97s/it]Loss at epoch 71: 1.000104
Training progress:  24%|██▍       | 72/300 [08:25<26:37,  7.01s/it]Loss at epoch 72: 1.000202
Training progress:  24%|██▍       | 73/300 [08:32<26:35,  7.03s/it]Loss at epoch 73: 0.999844
Training progress:  25%|██▍       | 74/300 [08:39<26:22,  7.00s/it]Loss at epoch 74: 1.000247
Training progress:  25%|██▌       | 75/300 [08:45<26:08,  6.97s/it]Loss at epoch 75: 0.999728
Training progress:  25%|██▌       | 76/300 [08:52<25:59,  6.96s/it]Loss at epoch 76: 1.000013
Training progress:  26%|██▌       | 77/300 [08:59<25:44,  6.92s/it]Loss at epoch 77: 0.999895
Training progress:  26%|██▌       | 78/300 [09:06<25:35,  6.92s/it]Loss at epoch 78: 0.999860
Training progress:  26%|██▋       | 79/300 [09:13<25:29,  6.92s/it]Loss at epoch 79: 0.999910
Training progress:  27%|██▋       | 80/300 [09:20<25:33,  6.97s/it]Loss at epoch 80: 1.000052
Training progress:  27%|██▋       | 81/300 [09:27<25:27,  6.97s/it]Loss at epoch 81: 0.999876
Training progress:  27%|██▋       | 82/300 [09:34<25:24,  6.99s/it]Loss at epoch 82: 1.000075
Training progress:  28%|██▊       | 83/300 [09:41<25:16,  6.99s/it]Loss at epoch 83: 0.999903
Training progress:  28%|██▊       | 84/300 [09:48<25:00,  6.95s/it]Loss at epoch 84: 1.000154
Training progress:  28%|██▊       | 85/300 [09:55<24:54,  6.95s/it]Loss at epoch 85: 0.999907
Training progress:  29%|██▊       | 86/300 [10:02<24:41,  6.92s/it]Loss at epoch 86: 0.999817
Training progress:  29%|██▉       | 87/300 [10:09<24:33,  6.92s/it]Loss at epoch 87: 0.999906
Training progress:  29%|██▉       | 88/300 [10:16<24:19,  6.88s/it]Loss at epoch 88: 0.999859
Training progress:  30%|██▉       | 89/300 [10:23<24:26,  6.95s/it]Loss at epoch 89: 0.999938
Training progress:  30%|███       | 90/300 [10:30<24:28,  6.99s/it]Loss at epoch 90: 1.000073
Training progress:  30%|███       | 91/300 [10:37<24:23,  7.00s/it]Loss at epoch 91: 0.999798
Training progress:  31%|███       | 92/300 [10:44<24:13,  6.99s/it]Loss at epoch 92: 1.000222
Training progress:  31%|███       | 93/300 [10:51<24:02,  6.97s/it]Loss at epoch 93: 0.999974
Training progress:  31%|███▏      | 94/300 [10:58<23:55,  6.97s/it]Loss at epoch 94: 1.000011
Training progress:  32%|███▏      | 95/300 [11:05<23:48,  6.97s/it]Loss at epoch 95: 1.000194
Training progress:  32%|███▏      | 96/300 [11:12<23:47,  7.00s/it]Loss at epoch 96: 0.999996
Training progress:  32%|███▏      | 97/300 [11:19<23:41,  7.00s/it]Loss at epoch 97: 1.000041
Training progress:  33%|███▎      | 98/300 [11:26<23:37,  7.02s/it]Loss at epoch 98: 0.999905
Training progress:  33%|███▎      | 99/300 [11:33<23:23,  6.98s/it]Loss at epoch 99: 1.000069
Training progress:  33%|███▎      | 100/300 [11:40<23:15,  6.98s/it]Loss at epoch 100: 0.999628
Training progress:  34%|███▎      | 101/300 [11:47<23:09,  6.98s/it]Loss at epoch 101: 1.000332
Training progress:  34%|███▍      | 102/300 [11:54<23:03,  6.99s/it]Loss at epoch 102: 0.999983
Training progress:  34%|███▍      | 103/300 [12:00<22:43,  6.92s/it]Loss at epoch 103: 0.999890
Training progress:  35%|███▍      | 104/300 [12:07<22:42,  6.95s/it]Loss at epoch 104: 0.999999
Training progress:  35%|███▌      | 105/300 [12:14<22:41,  6.98s/it]Loss at epoch 105: 0.999927
Training progress:  35%|███▌      | 106/300 [12:21<22:34,  6.98s/it]Loss at epoch 106: 0.999960
Training progress:  36%|███▌      | 107/300 [12:28<22:29,  6.99s/it]Loss at epoch 107: 0.999945
Training progress:  36%|███▌      | 108/300 [12:35<22:18,  6.97s/it]Loss at epoch 108: 0.999807
Training progress:  36%|███▋      | 109/300 [12:42<22:14,  6.99s/it]Loss at epoch 109: 1.000162
Training progress:  37%|███▋      | 110/300 [12:49<22:00,  6.95s/it]Loss at epoch 110: 1.000070
Training progress:  37%|███▋      | 111/300 [12:56<22:02,  7.00s/it]Loss at epoch 111: 0.999839
Training progress:  37%|███▋      | 112/300 [13:03<21:54,  6.99s/it]Loss at epoch 112: 0.999974
Training progress:  38%|███▊      | 113/300 [13:10<21:49,  7.01s/it]Loss at epoch 113: 0.999818
Training progress:  38%|███▊      | 114/300 [13:17<21:39,  6.99s/it]Loss at epoch 114: 1.000153
Training progress:  38%|███▊      | 115/300 [13:24<21:30,  6.98s/it]Loss at epoch 115: 1.000037
Training progress:  39%|███▊      | 116/300 [13:31<21:21,  6.97s/it]Loss at epoch 116: 0.999618
Training progress:  39%|███▉      | 117/300 [13:38<21:15,  6.97s/it]Loss at epoch 117: 1.000047
Training progress:  39%|███▉      | 118/300 [13:45<21:15,  7.01s/it]Loss at epoch 118: 0.999978
Training progress:  40%|███▉      | 119/300 [13:52<21:06,  7.00s/it]Loss at epoch 119: 1.000193
Training progress:  40%|████      | 120/300 [13:59<21:07,  7.04s/it]Loss at epoch 120: 1.000122
Training progress:  40%|████      | 121/300 [14:06<20:50,  6.99s/it]Loss at epoch 121: 0.999930
Training progress:  41%|████      | 122/300 [14:13<20:32,  6.93s/it]Loss at epoch 122: 0.999900
Training progress:  41%|████      | 123/300 [14:20<20:19,  6.89s/it]Loss at epoch 123: 0.999962
Training progress:  41%|████▏     | 124/300 [14:27<20:08,  6.87s/it]Loss at epoch 124: 0.999862
Training progress:  42%|████▏     | 125/300 [14:33<19:59,  6.85s/it]Loss at epoch 125: 0.999802
Training progress:  42%|████▏     | 126/300 [14:40<19:53,  6.86s/it]Loss at epoch 126: 1.000066
Training progress:  42%|████▏     | 127/300 [14:47<19:50,  6.88s/it]Loss at epoch 127: 0.999942
Training progress:  43%|████▎     | 128/300 [14:54<19:45,  6.89s/it]Loss at epoch 128: 1.000143
Training progress:  43%|████▎     | 129/300 [15:01<19:32,  6.85s/it]Loss at epoch 129: 1.000024
Training progress:  43%|████▎     | 130/300 [15:08<19:23,  6.84s/it]Loss at epoch 130: 0.999984
Training progress:  44%|████▎     | 131/300 [15:15<19:19,  6.86s/it]Loss at epoch 131: 0.999989
Training progress:  44%|████▍     | 132/300 [15:22<19:16,  6.88s/it]Loss at epoch 132: 0.999797
Training progress:  44%|████▍     | 133/300 [15:28<19:11,  6.90s/it]Loss at epoch 133: 0.999919
Training progress:  45%|████▍     | 134/300 [15:35<19:09,  6.92s/it]Loss at epoch 134: 0.999932
Training progress:  45%|████▌     | 135/300 [15:43<19:12,  6.99s/it]Loss at epoch 135: 1.000065
Training progress:  45%|████▌     | 136/300 [15:50<19:05,  6.98s/it]Loss at epoch 136: 0.999829
Training progress:  46%|████▌     | 137/300 [15:57<19:00,  7.00s/it]Loss at epoch 137: 0.999898
Training progress:  46%|████▌     | 138/300 [16:04<18:50,  6.98s/it]Loss at epoch 138: 1.000130
Training progress:  46%|████▋     | 139/300 [16:11<18:42,  6.97s/it]Loss at epoch 139: 1.000429
Training progress:  47%|████▋     | 140/300 [16:17<18:33,  6.96s/it]Loss at epoch 140: 1.000026
Training progress:  47%|████▋     | 141/300 [16:24<18:21,  6.93s/it]Loss at epoch 141: 0.999944
Training progress:  47%|████▋     | 142/300 [16:31<18:15,  6.94s/it]Loss at epoch 142: 0.999796
Training progress:  48%|████▊     | 143/300 [16:38<18:09,  6.94s/it]Loss at epoch 143: 1.000049
Training progress:  48%|████▊     | 144/300 [16:45<18:06,  6.97s/it]Loss at epoch 144: 0.999911
Training progress:  48%|████▊     | 145/300 [16:52<18:00,  6.97s/it]Loss at epoch 145: 0.999940
Training progress:  49%|████▊     | 146/300 [16:59<17:52,  6.97s/it]Loss at epoch 146: 1.000244
Training progress:  49%|████▉     | 147/300 [17:06<17:47,  6.98s/it]Loss at epoch 147: 1.000070
Training progress:  49%|████▉     | 148/300 [17:13<17:47,  7.03s/it]Loss at epoch 148: 0.999705
Training progress:  50%|████▉     | 149/300 [17:20<17:38,  7.01s/it]Loss at epoch 149: 0.999967
Training progress:  50%|█████     | 150/300 [17:27<17:28,  6.99s/it]Loss at epoch 150: 1.000167
Training progress:  50%|█████     | 151/300 [17:34<17:13,  6.94s/it]Loss at epoch 151: 1.000061
Training progress:  51%|█████     | 152/300 [17:41<17:11,  6.97s/it]Loss at epoch 152: 1.000135
Training progress:  51%|█████     | 153/300 [17:48<17:04,  6.97s/it]Loss at epoch 153: 0.999762
