,n_epochs,activation_function,pooling,n_conv_layers,conv_out_channels,conv_kernel_size,conv_padding,n_layers,batch_size,learning_rate,loss_function,optimizer,results
103,50,relu,MaxPool,2,16,3,1,3,64,0.1,Cross Entropy,SGD,"[{'loss_values': [239.4286093711853, 239.01862823963165, 236.24641394615173, 228.59114623069763, 219.90165758132935, 210.7441565990448, 203.72503066062927, 196.12502717971802, 187.65983748435974, 176.49874186515808, 169.91871452331543, 164.4104598760605, 157.1670542359352, 153.60371381044388, 150.29290229082108, 145.00487422943115, 140.53066790103912, 137.06689029932022, 134.64996659755707, 128.8456130027771, 124.16223460435867, 120.67531079053879, 122.25546771287918, 112.08498281240463, 108.50064292550087, 100.74638822674751, 91.47060459852219, 91.63854393362999, 81.60311618447304, 80.39574977755547, 71.66335964202881, 65.60425537079573, 70.25033965706825, 55.44624908268452, 57.62923891842365, 40.77798542007804, 52.90058991312981, 43.96525148302317, 32.03854309767485, 29.45983580313623, 25.540383929386735, 60.784938126802444, 17.272114746272564, 22.304753310978413, 22.88823420368135, 11.671360704116523, 22.273439819924533, 12.321680114604533, 13.241086234804243, 8.899202268803492], 'confusion_matrix_train': [[558, 1, 5, 1, 3, 0, 0], [8, 548, 5, 0, 6, 1, 1], [0, 2, 520, 0, 11, 10, 0], [3, 0, 2, 553, 0, 0, 0], [0, 0, 4, 0, 550, 5, 0], [0, 1, 7, 1, 14, 535, 1], [0, 0, 0, 0, 1, 0, 563]], 'confusion_matrix_val': [[82, 11, 15, 8, 11, 3, 2], [22, 62, 11, 10, 14, 5, 7], [5, 10, 99, 2, 26, 14, 1], [9, 9, 8, 109, 4, 1, 2], [5, 5, 26, 1, 80, 22, 2], [0, 5, 11, 0, 31, 93, 1], [0, 3, 3, 0, 3, 0, 127]]}, {'loss_values': [239.41891860961914, 239.16925477981567, 238.04083335399628, 231.6829208135605, 218.1419314146042, 209.3053104877472, 203.80344319343567, 198.12725496292114, 191.50921189785004, 182.93956410884857, 169.46363604068756, 164.05639380216599, 158.7433003783226, 153.6769899725914, 148.8083540201187, 146.99569606781006, 141.55688905715942, 136.94543194770813, 130.46497976779938, 128.39903092384338, 126.20225030183792, 119.49630826711655, 123.11007249355316, 109.77290320396423, 103.49383091926575, 102.16830250620842, 103.5728514790535, 90.98855763673782, 91.09846019744873, 77.8652253895998, 75.47037653625011, 68.85441301763058, 63.441568322479725, 62.339606031775475, 49.28236619383097, 81.69081785529852, 65.23714844882488, 46.75656247884035, 41.453638240695, 31.726339243352413, 25.67284670472145, 65.1035809777677, 36.73295086622238, 28.491951137781143, 24.693587355315685, 17.75268746353686, 9.866622083820403, 21.695305268280208, 9.883826687000692, 9.580136303324252], 'confusion_matrix_train': [[536, 0, 0, 2, 0, 1, 0], [21, 530, 3, 8, 1, 2, 1], [8, 0, 536, 1, 0, 4, 1], [1, 0, 0, 576, 0, 0, 5], [4, 0, 6, 1, 539, 12, 0], [0, 2, 10, 1, 7, 552, 0], [0, 0, 0, 0, 0, 3, 546]], 'confusion_matrix_val': [[104, 16, 13, 17, 5, 6, 0], [33, 55, 9, 13, 4, 11, 9], [20, 9, 86, 3, 16, 15, 1], [10, 5, 3, 95, 0, 2, 3], [13, 1, 34, 2, 67, 21, 0], [6, 5, 19, 2, 23, 69, 4], [2, 2, 1, 3, 0, 0, 143]]}, {'loss_values': [239.41516053676605, 238.95063662528992, 236.07945108413696, 228.3501456975937, 218.32656300067902, 209.21709024906158, 204.645378947258, 198.19786632061005, 191.219788312912, 182.34629833698273, 173.99228370189667, 167.6177306175232, 159.3709883093834, 155.6484746336937, 151.1881645321846, 148.0318112373352, 143.87998312711716, 140.98763489723206, 137.61243098974228, 135.12312960624695, 129.11590534448624, 123.62102717161179, 124.45758551359177, 116.04171115159988, 118.07417106628418, 108.32705760002136, 103.18810492753983, 101.80808439850807, 95.1795734167099, 87.70558747649193, 83.72723588347435, 73.83963233232498, 73.23924413323402, 64.7748696655035, 55.67960050702095, 62.02404864132404, 46.91461372375488, 41.21076126396656, 47.039302695542574, 38.829869478940964, 46.50303132086992, 29.22759920731187, 32.645902652293444, 30.47353153862059, 23.548019486945122, 18.864600583910942, 25.181082835420966, 28.222991267219186, 26.758532075211406, 11.784732297062874], 'confusion_matrix_train': [[566, 0, 2, 6, 1, 0, 0], [10, 511, 8, 15, 0, 2, 1], [0, 1, 553, 1, 8, 2, 0], [0, 0, 0, 550, 0, 0, 0], [2, 0, 8, 0, 547, 3, 0], [0, 0, 19, 0, 27, 511, 0], [0, 0, 0, 0, 0, 0, 566]], 'confusion_matrix_val': [[75, 15, 12, 13, 8, 2, 0], [36, 61, 15, 21, 10, 3, 7], [10, 6, 78, 3, 25, 11, 2], [8, 6, 4, 127, 0, 3, 2], [8, 2, 23, 3, 86, 15, 3], [1, 4, 14, 1, 27, 91, 5], [0, 1, 0, 3, 2, 2, 126]]}, {'loss_values': [239.43153405189514, 239.11265540122986, 237.15551900863647, 229.87734496593475, 223.52542221546173, 214.11393213272095, 203.97689497470856, 194.88443183898926, 187.7874493598938, 179.37774050235748, 172.09105551242828, 162.87541860342026, 158.1154007911682, 155.14044427871704, 151.15181362628937, 148.45721197128296, 144.74745666980743, 141.16532534360886, 137.4412562251091, 137.10024172067642, 132.52825397253036, 128.72597032785416, 126.89511287212372, 122.79687237739563, 120.1041806936264, 115.15201163291931, 109.11392080783844, 110.43315929174423, 101.29195404052734, 101.288355499506, 94.66297721862793, 99.97380375862122, 84.49532461166382, 76.92237102985382, 72.82502700388432, 68.04456587135792, 63.88289026916027, 63.13681256771088, 60.80957245081663, 56.71392272412777, 51.27792974561453, 39.38431587070227, 51.72441662847996, 38.687836192548275, 30.16772487387061, 35.20263930410147, 20.295631632208824, 31.974046032875776, 32.60201358422637, 15.874650998041034], 'confusion_matrix_train': [[542, 6, 6, 2, 1, 0, 0], [2, 529, 4, 1, 2, 0, 7], [3, 3, 556, 1, 9, 0, 6], [10, 15, 2, 524, 0, 0, 3], [0, 0, 1, 0, 559, 5, 2], [0, 1, 10, 0, 27, 502, 7], [0, 0, 0, 0, 0, 0, 572]], 'confusion_matrix_val': [[87, 23, 10, 11, 10, 1, 1], [22, 79, 18, 12, 10, 3, 11], [12, 3, 65, 2, 30, 6, 4], [7, 10, 1, 122, 3, 1, 2], [5, 7, 24, 1, 74, 12, 10], [5, 7, 30, 1, 28, 80, 2], [0, 1, 0, 0, 0, 0, 127]]}, {'loss_values': [239.40621984004974, 239.31692516803741, 238.94703602790833, 236.7611322402954, 227.74847400188446, 215.1064968109131, 207.1338165998459, 200.2804684638977, 198.52256083488464, 183.76952934265137, 173.26390439271927, 164.17940974235535, 160.87539106607437, 155.2088070511818, 150.20501625537872, 146.01986652612686, 141.76666063070297, 140.31419187784195, 135.00596511363983, 130.0271499156952, 127.3711326122284, 122.62246417999268, 118.29868698120117, 116.13022071123123, 111.5659846663475, 105.5852182507515, 103.45609229803085, 109.37309455871582, 97.80559530854225, 90.55902275443077, 84.21191407740116, 82.98794108629227, 71.16409005224705, 73.52135215699673, 72.48367603123188, 68.42453724145889, 68.77010495215654, 58.86945112608373, 47.36941719055176, 59.59529837593436, 40.71723721176386, 36.645827535539865, 32.03774495050311, 31.800009115599096, 33.17141808569431, 35.93117017112672, 22.58540591597557, 25.637013961561024, 13.614418623968959, 25.761073729489], 'confusion_matrix_train': [[551, 5, 0, 5, 0, 0, 0], [2, 567, 0, 4, 0, 0, 0], [7, 6, 534, 1, 5, 11, 0], [1, 3, 0, 551, 1, 0, 0], [2, 0, 0, 0, 535, 15, 0], [0, 0, 0, 0, 4, 561, 0], [0, 0, 0, 1, 2, 0, 546]], 'confusion_matrix_val': [[90, 21, 9, 10, 6, 3, 0], [20, 82, 6, 10, 3, 2, 4], [13, 10, 62, 8, 23, 17, 3], [6, 15, 0, 121, 0, 2, 0], [20, 10, 19, 2, 66, 31, 0], [2, 4, 14, 0, 20, 95, 0], [1, 4, 1, 3, 2, 1, 139]]}]"
88,50,relu,MaxPool,2,16,3,1,3,32,0.1,Multi Margin,SGD,"[{'loss_values': [105.60230594873428, 105.38202220201492, 104.90448349714279, 102.3214111328125, 89.94781196117401, 81.43068143725395, 74.76438850164413, 67.34454053640366, 60.36889824271202, 55.56464609503746, 51.46674019098282, 48.993880569934845, 47.120235577225685, 44.87460754811764, 43.49683155119419, 42.350684747099876, 40.86074589192867, 39.56651718914509, 38.81584033370018, 37.11140884459019, 36.02084735035896, 34.88637848198414, 33.67324863374233, 32.45380114018917, 31.064642071723938, 30.56198740005493, 28.983667820692062, 28.17554910480976, 27.343372851610184, 26.19862338155508, 24.825267866253853, 24.400974564254284, 22.88215731829405, 22.035077683627605, 21.16768527030945, 20.217142581939697, 18.832558520138264, 17.985417790710926, 16.46894733607769, 15.597387813031673, 15.853816285729408, 13.680530652403831, 13.103746600449085, 11.859712425619364, 11.207306940108538, 10.380613692104816, 9.343946492299438, 8.996293969452381, 8.32403757236898, 7.961157085373998], 'confusion_matrix_train': [[476, 39, 27, 9, 9, 8, 0], [43, 484, 15, 14, 3, 1, 9], [11, 20, 485, 2, 5, 14, 6], [30, 16, 9, 500, 0, 3, 0], [12, 11, 107, 2, 365, 53, 9], [1, 17, 46, 1, 45, 447, 2], [1, 6, 0, 0, 0, 0, 557]], 'confusion_matrix_val': [[81, 21, 13, 10, 3, 2, 2], [22, 76, 8, 13, 5, 2, 5], [11, 17, 102, 4, 12, 10, 1], [19, 23, 7, 90, 1, 2, 0], [12, 5, 45, 1, 49, 21, 8], [1, 3, 22, 0, 12, 101, 2], [3, 4, 0, 2, 0, 0, 127]]}, {'loss_values': [105.44157475233078, 104.48124182224274, 95.62967985868454, 84.64896929264069, 78.5881699025631, 73.98994392156601, 67.80274644494057, 58.218904823064804, 51.61276042461395, 48.103299885988235, 46.434348464012146, 44.485157027840614, 42.91866731643677, 40.946456864476204, 39.59173169732094, 38.19033381342888, 35.939537316560745, 35.247662365436554, 33.7203389108181, 32.36585143208504, 30.91642051935196, 29.561955720186234, 28.68218083679676, 27.660294085741043, 26.038280069828033, 24.228521659970284, 24.000678524374962, 21.23180128633976, 21.801405802369118, 19.772720396518707, 18.8132924772799, 16.85998559743166, 15.94076406210661, 14.701373845338821, 13.595565605908632, 13.317473586648703, 12.109537292271852, 11.50849991850555, 10.103887287899852, 8.67603014409542, 8.68253450281918, 7.521825917996466, 7.279015138745308, 6.634117123205215, 6.22337969020009, 5.196845840662718, 4.373509541619569, 4.024612500565126, 3.848696491448208, 3.125359778525307], 'confusion_matrix_train': [[452, 43, 17, 20, 7, 0, 0], [5, 525, 10, 15, 2, 2, 7], [3, 12, 500, 4, 18, 6, 7], [0, 6, 1, 575, 0, 0, 0], [1, 5, 14, 2, 529, 6, 5], [0, 6, 15, 3, 36, 503, 9], [0, 2, 0, 0, 0, 0, 547]], 'confusion_matrix_val': [[76, 27, 19, 22, 9, 7, 1], [12, 71, 18, 8, 5, 8, 12], [6, 10, 86, 7, 25, 10, 6], [4, 8, 2, 101, 0, 2, 1], [3, 5, 32, 0, 81, 16, 1], [1, 8, 12, 6, 27, 68, 6], [0, 2, 2, 2, 0, 1, 144]]}, {'loss_values': [105.60837298631668, 105.45273959636688, 105.15425282716751, 102.67236143350601, 83.90157476067543, 74.69891062378883, 71.88728854060173, 68.69939026236534, 66.32568964362144, 64.25288945436478, 62.42938646674156, 60.512117475271225, 58.40898662805557, 55.089535146951675, 51.43290859460831, 47.30633008480072, 44.47194439172745, 41.9232742190361, 40.54571099579334, 39.14191818237305, 36.557694897055626, 34.99050164222717, 33.307984724640846, 32.21085914969444, 30.424846850335598, 29.0224968791008, 27.50089955329895, 25.965587839484215, 24.235827781260014, 22.787717439234257, 22.4355304017663, 20.773715011775494, 19.020264010876417, 17.8843714594841, 16.8499325029552, 15.904547069221735, 14.449501179158688, 13.446223601698875, 12.38224764727056, 11.433133278042078, 15.576358200982213, 10.222374988719821, 8.689916530624032, 7.992838314268738, 7.872251701075584, 6.679559165611863, 5.9156464440748096, 6.060802015010267, 4.707267807563767, 4.5501443221000955], 'confusion_matrix_train': [[504, 37, 25, 6, 1, 2, 0], [9, 518, 16, 2, 0, 0, 2], [4, 10, 535, 1, 4, 3, 8], [22, 26, 7, 493, 0, 2, 0], [3, 5, 91, 1, 415, 41, 4], [2, 20, 44, 1, 14, 465, 11], [0, 2, 0, 0, 0, 0, 564]], 'confusion_matrix_val': [[73, 24, 21, 3, 2, 2, 0], [16, 102, 18, 8, 2, 0, 7], [5, 11, 92, 3, 17, 4, 3], [20, 18, 7, 102, 0, 3, 0], [5, 5, 35, 3, 62, 24, 6], [2, 6, 13, 0, 15, 98, 9], [2, 5, 4, 1, 1, 1, 120]]}, {'loss_values': [105.43056643009186, 101.28399240970612, 86.6397071480751, 79.03723043203354, 73.34078511595726, 69.42838570475578, 66.30429667234421, 60.30859073996544, 54.414085268974304, 51.23215736448765, 49.32049438357353, 47.86515371501446, 46.27802017331123, 44.5298455953598, 43.018273651599884, 41.21814565360546, 39.940920889377594, 38.078153401613235, 36.48677584528923, 35.73501843214035, 34.50672546029091, 33.0426626726985, 31.75866562128067, 30.593328960239887, 29.13229314982891, 28.232372291386127, 27.398963667452335, 25.76978448033333, 24.872764319181442, 23.28158351778984, 22.43202441930771, 21.24999102205038, 19.933855414390564, 18.859909564256668, 17.884333722293377, 17.142150349915028, 15.66469257324934, 14.446549903601408, 14.11289569735527, 12.689386002719402, 11.648448470979929, 10.947112251073122, 10.386656790971756, 9.395097790285945, 8.76160894241184, 8.128892358392477, 7.174718079157174, 6.761213437654078, 6.6917936857789755, 5.668999119428918], 'confusion_matrix_train': [[503, 30, 12, 8, 1, 3, 0], [26, 490, 10, 15, 1, 3, 0], [8, 2, 535, 1, 18, 13, 1], [7, 15, 4, 527, 0, 0, 1], [5, 1, 30, 0, 505, 25, 1], [0, 6, 17, 1, 43, 478, 2], [0, 3, 8, 0, 1, 0, 560]], 'confusion_matrix_val': [[91, 18, 17, 9, 7, 1, 0], [20, 91, 17, 12, 4, 6, 5], [12, 6, 72, 0, 22, 9, 1], [6, 11, 7, 121, 0, 0, 1], [7, 9, 24, 0, 70, 18, 5], [3, 6, 25, 2, 26, 91, 0], [1, 4, 2, 0, 1, 1, 119]]}, {'loss_values': [105.60521972179413, 105.40363991260529, 104.85048842430115, 98.23861175775528, 82.81756693124771, 75.50227496027946, 70.90994310379028, 67.02049764990807, 62.14710336923599, 55.17823147773743, 49.717787370085716, 47.13143788278103, 45.152495339512825, 43.48416841030121, 42.56347347795963, 40.90820276737213, 39.86616863310337, 38.492290407419205, 37.53177207708359, 36.47278191149235, 35.20825619995594, 33.48066984117031, 32.62806536257267, 32.13698022067547, 30.71800258755684, 29.769835993647575, 28.622280694544315, 27.38510661572218, 26.299925163388252, 25.75918658077717, 24.275836147367954, 23.967133685946465, 23.116147458553314, 21.46036670356989, 20.66426496207714, 19.44468366354704, 18.985280476510525, 18.14805283397436, 17.16871803998947, 16.061633471399546, 15.146733421832323, 14.02901173569262, 13.44360109232366, 13.166376740671694, 11.433441986329854, 11.209296144545078, 10.757976830005646, 9.934903064742684, 9.603892741724849, 8.132907258346677], 'confusion_matrix_train': [[490, 45, 4, 17, 2, 3, 0], [53, 470, 5, 30, 1, 2, 12], [22, 17, 431, 9, 47, 30, 8], [52, 16, 1, 482, 0, 5, 0], [9, 1, 39, 3, 488, 11, 1], [3, 15, 20, 2, 63, 458, 4], [1, 1, 0, 0, 1, 0, 546]], 'confusion_matrix_val': [[89, 23, 6, 9, 9, 2, 1], [28, 67, 7, 9, 7, 3, 6], [20, 7, 70, 1, 26, 12, 0], [23, 13, 1, 106, 0, 1, 0], [11, 11, 26, 0, 86, 14, 0], [1, 5, 15, 1, 31, 80, 2], [1, 5, 0, 2, 2, 2, 139]]}]"
218,50,relu,AvgPool,2,16,3,1,3,32,0.001,Cross Entropy,RMSprop,"[{'loss_values': [229.73726725578308, 204.316171169281, 196.53250515460968, 179.04096174240112, 164.3086531162262, 159.96967232227325, 153.52126288414001, 151.4743310213089, 146.37472254037857, 141.397940158844, 137.68913555145264, 135.58783149719238, 126.38522809743881, 122.74437034130096, 114.02245825529099, 110.99705773591995, 108.83395004272461, 95.13552528619766, 89.95331159234047, 83.96131065487862, 78.68886241316795, 73.65281295776367, 65.57158462703228, 64.52601350843906, 67.41767363250256, 51.77202448993921, 52.928106874227524, 48.10164025425911, 44.72855028510094, 42.601448968052864, 40.46120976284146, 41.21891897544265, 32.78734278678894, 29.524120952934027, 31.736961644142866, 34.3384546879679, 22.787852877750993, 28.462194938212633, 27.344435019418597, 19.80324125662446, 21.938512173481286, 25.3044007755816, 13.942715075798333, 25.155573906144127, 17.605001682415605, 20.60529665579088, 15.972049207659438, 18.988746070768684, 31.440418863669038, 8.046227078186348], 'confusion_matrix_train': [[531, 22, 13, 5, 3, 0, 0], [9, 541, 13, 11, 1, 1, 0], [0, 8, 540, 16, 2, 4, 1], [2, 2, 1, 558, 0, 0, 0], [1, 3, 13, 1, 545, 4, 0], [1, 6, 17, 6, 14, 494, 2], [3, 1, 0, 1, 1, 0, 523]], 'confusion_matrix_val': [[72, 19, 12, 14, 9, 0, 0], [17, 62, 25, 16, 0, 1, 3], [7, 11, 74, 8, 22, 2, 5], [3, 8, 1, 125, 0, 0, 0], [11, 4, 30, 6, 57, 23, 2], [6, 3, 14, 4, 22, 106, 5], [3, 3, 2, 6, 2, 3, 152]]}, {'loss_values': [240.35594177246094, 212.9262317419052, 193.7826622724533, 184.03067076206207, 165.2466098666191, 157.81261330842972, 152.28086429834366, 147.08074671030045, 145.91878986358643, 137.42620158195496, 135.3209007382393, 130.12233221530914, 127.0217090845108, 119.1444862484932, 113.25800901651382, 105.62767916917801, 97.09746843576431, 91.84192582964897, 85.27376794815063, 79.15313720703125, 74.28910112380981, 67.2455544769764, 63.43225824832916, 57.118110939860344, 56.88855284452438, 51.31953972578049, 47.89707961678505, 40.20939463376999, 43.59906159341335, 33.96445458009839, 37.015422999858856, 30.62570521235466, 29.106297174468637, 26.670684264972806, 24.967582676559687, 25.177914728410542, 19.91359931230545, 29.091094689210877, 24.575352844782174, 20.335013183299452, 21.95691217528656, 18.37109058536589, 23.071110610384494, 16.585633194074035, 24.062194602563977, 11.011093898676336, 12.520658491645008, 15.502843157970347, 18.67436567871482, 15.869755682302639], 'confusion_matrix_train': [[531, 11, 1, 11, 5, 0, 0], [1, 538, 0, 1, 0, 0, 1], [4, 11, 499, 3, 24, 7, 2], [0, 0, 0, 565, 0, 1, 0], [0, 1, 8, 0, 544, 5, 1], [0, 2, 13, 0, 15, 547, 0], [0, 0, 1, 0, 0, 3, 564]], 'confusion_matrix_val': [[80, 23, 6, 13, 16, 3, 0], [11, 106, 12, 14, 7, 0, 9], [9, 12, 54, 5, 41, 27, 2], [4, 14, 1, 111, 1, 1, 2], [7, 6, 13, 0, 96, 16, 3], [0, 4, 8, 2, 30, 78, 1], [0, 3, 0, 0, 0, 1, 128]]}, {'loss_values': [251.05426478385925, 204.6926131248474, 191.2493031024933, 179.43419468402863, 163.60880160331726, 155.27263379096985, 151.26079362630844, 145.60112822055817, 142.33652710914612, 136.47437465190887, 132.44145876169205, 128.97361260652542, 123.79807925224304, 120.24264866113663, 115.83481562137604, 106.79911869764328, 100.66117575764656, 94.1648243367672, 90.19808578491211, 81.67123115062714, 75.85216581821442, 69.5604871660471, 65.55976079404354, 60.531136967241764, 53.244963616132736, 54.871456399559975, 56.856748163700104, 44.07677352428436, 47.199717707931995, 33.93570461124182, 38.43206997960806, 31.76604174077511, 34.56486136093736, 26.60412861406803, 31.289571763947606, 23.802223708480597, 24.38193473080173, 25.30153027921915, 24.642186312936246, 19.965111449360847, 23.141762351617217, 23.49537522904575, 16.578648149967194, 17.936575982370414, 16.371806103736162, 13.065531267027836, 20.508233563276008, 20.51530004083179, 15.410966114606708, 16.100065431557596], 'confusion_matrix_train': [[547, 4, 1, 0, 0, 1, 0], [7, 554, 3, 0, 0, 0, 0], [1, 3, 546, 0, 3, 1, 0], [4, 2, 1, 558, 0, 0, 0], [2, 3, 6, 0, 543, 4, 0], [0, 0, 4, 0, 9, 550, 0], [0, 0, 1, 0, 0, 0, 562]], 'confusion_matrix_val': [[86, 26, 7, 11, 12, 4, 1], [22, 80, 8, 11, 6, 4, 5], [8, 10, 86, 1, 25, 13, 3], [15, 10, 3, 107, 0, 0, 0], [5, 16, 37, 3, 62, 15, 4], [2, 4, 21, 2, 23, 82, 3], [0, 8, 2, 1, 0, 2, 124]]}, {'loss_values': [240.285942196846, 220.25621891021729, 205.8400435447693, 195.80618715286255, 191.06130743026733, 170.95564198493958, 164.1882791519165, 158.5669573545456, 154.73826837539673, 148.0324074625969, 145.80405741930008, 139.18623852729797, 137.18700963258743, 132.19802474975586, 127.48093754053116, 122.37430852651596, 117.0654125213623, 109.71876341104507, 104.42780286073685, 102.13521042466164, 90.20681557059288, 83.81301286816597, 81.58305451273918, 76.18770869076252, 64.67963345348835, 64.97062359750271, 56.10709972679615, 54.34455086290836, 45.951014906167984, 45.417719051241875, 43.33101396635175, 34.69808432087302, 38.013599038124084, 40.29568484425545, 28.51309760287404, 35.962289437651634, 22.723701308481395, 24.2779215388, 23.936300538480282, 30.26642676908523, 22.99188673775643, 17.957026297226548, 22.14232787443325, 16.760339240543544, 17.258558366447687, 21.12385603878647, 26.28326678276062, 9.476668850984424, 21.983703543897718, 18.182397936936468], 'confusion_matrix_train': [[515, 18, 4, 22, 2, 0, 0], [20, 519, 6, 8, 1, 5, 0], [4, 9, 505, 4, 10, 18, 1], [1, 17, 1, 537, 0, 0, 0], [1, 3, 6, 1, 547, 11, 1], [6, 8, 15, 0, 11, 524, 0], [2, 11, 4, 1, 0, 3, 538]], 'confusion_matrix_val': [[71, 26, 14, 18, 7, 3, 0], [14, 83, 8, 17, 11, 7, 1], [15, 13, 57, 4, 41, 17, 2], [8, 15, 1, 120, 0, 0, 0], [9, 2, 14, 3, 79, 19, 4], [7, 8, 14, 2, 22, 82, 1], [2, 6, 3, 2, 2, 1, 125]]}, {'loss_values': [248.6888769865036, 215.7201521396637, 201.97838509082794, 189.21124613285065, 170.73529696464539, 163.70232152938843, 158.62468826770782, 154.6886983513832, 150.4211962223053, 146.41397166252136, 143.4473671913147, 137.80621457099915, 133.4734007716179, 129.66660273075104, 121.87033039331436, 116.79150992631912, 110.94684213399887, 109.54608625173569, 95.40573254227638, 96.60473987460136, 85.81650024652481, 81.09976291656494, 78.31094032526016, 72.2205226123333, 61.89443399012089, 60.57139325141907, 55.85751585662365, 54.955840729177, 45.908739648759365, 41.75019509345293, 36.60579861700535, 35.768274407833815, 36.73524437844753, 29.05183090083301, 29.424167096614838, 25.700814854353666, 21.082708675414324, 25.91001331526786, 21.91224213782698, 20.081369254738092, 23.40368357859552, 23.828570398734882, 21.028368072467856, 16.409631920978427, 15.877233413979411, 20.941205012612045, 9.623116269009188, 15.84417883399874, 17.901502487366088, 19.39018567884341], 'confusion_matrix_train': [[534, 13, 1, 2, 0, 3, 0], [14, 533, 1, 5, 0, 2, 5], [10, 23, 514, 8, 8, 10, 1], [7, 7, 0, 533, 0, 3, 0], [2, 7, 10, 0, 514, 10, 3], [1, 5, 9, 1, 11, 528, 1], [0, 0, 0, 0, 0, 0, 581]], 'confusion_matrix_val': [[88, 25, 7, 9, 8, 5, 5], [11, 89, 8, 17, 4, 6, 5], [10, 18, 51, 5, 23, 15, 4], [11, 16, 1, 119, 0, 3, 0], [6, 11, 25, 1, 84, 24, 3], [8, 6, 14, 0, 23, 92, 1], [1, 1, 6, 3, 2, 1, 105]]}]"
